Reference SFDC Data File Name,Master Type (Finnone/Manual),Finnone Master shared with PWC on 17-02-2025,SFDC Master Name,Rule - Primary / composite Key column,In which Category we need to add,Shoud not be empty
Generic Master(CR_GENE_PARA17),,,MasterData__c ,"FinnoneCode__c, FinnoneVal__c,MiscField1__c,  SalesforceCode__c, Business_Unit__c",MASTER_TABLE_NAME__C = 'CR_GENE_PARA' and FinnoneCode__c = 'IDPROOF',
Generic Master(CR_GENE_PARA18),,,MasterData__c ,"FinnoneCode__c, FinnoneVal__c,MiscField1__c,  SalesforceCode__c, Business_Unit__c",MASTER_TABLE_NAME__C = 'CR_GENE_PARA' and FinnoneCode__c = 'COAPPL',
Generic Master(CR_GENE_PARA19),,,MasterData__c ,"FinnoneCode__c,FinnoneVal__c,MiscField1__c,SalesforceCode__c,Business_Unit__c",MASTER_TABLE_NAME__C = 'CR_GENE_PARA' and FinnoneCode__c = 'MARITAL',
Generic Master(CR_GENE_PARA20),,,MasterData__c ,"FinnoneCode__c, FinnoneVal__c,MiscField1__c, SalesforceCode__c, Business_Unit__c",MASTER_TABLE_NAME__C = 'CR_GENE_PARA' and FinnoneCode__c = 'ADDPROOFCOLL',
Generic Master(CR_GENE_PARA21),,,MasterData__c ,"FinnoneCode__c, FinnoneVal__c,MiscField1__c, SalesforceCode__c, Business_Unit__c",MASTER_TABLE_NAME__C = 'CR_GENE_PARA' and FinnoneCode__c = 'ADDTYPE',
Generic Master(CR_GENE_PARA22),Manual Master,No Finnone Master,,,,
Generic Master(CR_GENE_PARA23),,,,,,
Generic Master(CR_GENE_PARA24),,,,,,
Sanction Condition Master,,,Sanction_Conditions_Master__c,,,
User,Manual Master,PROD user details,user ,"Username,Email,LastName,FirstName,ProfileId,Employee_Number__c",IsActive = true and Email LIKE '%smfgindia%',
TW Hierarchy,Manual Master,PROD user details,TeamHierarchy__c ,"EmployeEmail__c, EmpRole__c,EmpLevel__c,Employee__c, Hierarchy_Type__c,EmpBrch__r.BrchCode__c",IsActive__c = true,
Application (LOAN PURPOSE),"Finnone Master &
These are Picklist Value which get stamped in the TXN",CR_GENE_PARA.xlsx,Picklist,,,
Applicant(NATIONALITY),,,,,,
Applicant(CITIZEN),,,,,,
Applicant(EDU Qualification),,,,,,
Applicant(CUSTOMER CATEGORY),,,,,,
Applicant(CUSTOMER PROFILE CAT),,,,,,
Applicant(CUSTOMER PROFILE),,,MasterData__c ,"FINNONECODE__C,FINNONEVAL__C,TYPE__C,MASTER_TABLE_NAME__C",Type__c = 'Profile Category' and MASTER_TABLE_NAME__C = 'CR_GENE_PARA',
Applicant Emp (DESIGNATION),"Finnone Master &
These are Picklist Value which get stamped in the TXN",LEA_DESIGNATION_M.xlsx,Picklist,,,
Applicant Emp(NATUREOFBUSINESS),,LEA_NATURE_OF_BUSINESS_M.xlsx,,,,
Applicant Emp(EMPLOYMENT),,CR_GENE_PARA.xlsx,,,,
Applicant Emp(INCOMESOURCE),,,,,,
Applicant Emp((CREDITDAY),,,,,,
Applicant Emp((TYPEOFORG),,,,,,
Applicant Emp((EMPSTATUS),,,,,,
Applicant Asset(ASSET TYPE),,,,,,
Picklist_Insurance__c,,,,,,
CRM Masters (Loan Purpose),CRM Master,,MasterData__c ,"Key__c, Value__c,Type__c,Business_Unit__c",type__c = 'Loan Purpose',
CRM Masters (Residence Type),CRM Master,,MasterData__c ,"Key__c, Value__c,Type__c,Business_Unit__c",type__c = 'Residence Type',
CRM Masters (Status Code),CRM Master,,MasterData__c ,"Key__c, Value__c,Type__c,Business_Unit__c",type__c = 'Status Code',
CRM Masters (Channel),CRM Master,,MasterData__c ,"Key__c, Value__c,Type__c,Business_Unit__c",type__c  = 'Channel',
CRM Masters (Employment Type),CRM Master,,MasterData__c ,"Key__c, Value__c,Type__c,Business_Unit__c",type__c = 'Employment Type',
BRE and Bureau (Marital Status),BRE Master,,MasterData__c ,"Key__c, Value__c,Type__c,Business_Unit__c",type__c = 'Marital Status',
BRE and Bureau (Education Qualification),BRE Master,,MasterData__c ,"Key__c, Value__c,Type__c,Business_Unit__c",type__c = 'Education Qualification',
BRE and Bureau (Address Type),BRE Master,,MasterData__c ,"Key__c, Value__c,Type__c,Business_Unit__c",type__c = 'Address Type',
Deviation Masters with Deviation,Finnone Master,LOS_WFL_DEVIATION_DTL.xlsx,MasterData__c ,"Business_Unit__c, Level__c, ApprAmt__c, SchCode__c, Master_Table_Name__c, MiscField1__c",Master_Table_Name__c = 'Deviation_Sanction Authority Details',
UW Mitigation,Finnone Master,CR_GENE_PARA.xlsx,DeviaMstr__c ,"Devia_Desc_Text__c, Deviation_Category__c, IsActive__c, LWDD_Dev_DTL_Id__c, LWDD_Devi_Desc__c, LWDD_LRRM_RuleId__c, LWDD_LSR_RoleId__c, LWDD_LWD_DevId__c, LWDD_NPM_Prod__c, LWDD_Prio_N__c, SchemeId__c",RecordType.Name = 'Mitigation',
Deviation_Sanction Authority Details,Manual Master,,MasterData__c ,"Business_Unit__c, Level__c, ApprAmt__c, SchCode__c",Master_Table_Name__c = 'Deviation_Sanction Authority Details',
Employer Master,Finnone Master,LEA_EMPLOYER_M.xlsx,Employer__c ,"Name,EmployerId__c,Business_Unit__c",,
